"property"	"annual_emissions"	"normalised_cost"	"annual_cost"	"primary_energy_consumption"	"energy_per_area"	"electrical_emissions"	"gas_emissions"	"electrical_per_area"	"gas_per_area"	"electrical_normalised_cost"	"gas_normalised_cost"	"electrical_annual_cost"	"gas_annual_cost"	"comfort_pre"	"comfort_post"	"comfort_pre_value"	"comfort_post_value"	"pre_air_tightness"	"post_air_tightness"	"ashp"	"gshp"	"electric"	"gas_fired_boiler"	"biomass_boiler"	"micro_chp"	"solar_pv"	"solar_thermal"	"mvhr"	"exhaust_air_heat_recovery"	"decentralised_mev"	"cavity_insulation"	"ewi___solid_wall"	"iwi___solid_wall"	"triple_glazed"	"roof_or_loft_insulation"	"floor_insulation"	"low_energy_lighting"	"new_heating_controls"	"voltage_optimisation"	"electrical_primary_energy_consumption"	"gas_primary_energy_consumption"
"TSB014"	13.9329659660887	4.65877919435877	386.399146380117	90.8724870498143	35.9769941551322	12.8699433341977	1.06302263189102	30.4974960526012	5.47949810253103	4.41603742841665	0.242741765942124	366.266144312877	20.1330020672398	NA	NA	NA	NA	9.02	6.16	""	""	""	""	"yes"	NA	""	"yes"	""	""	""	""	"yes"	""	"yes"	"yes"	"yes"	""	""	NA	85.3929889472832	5.47949810253103
"TSB068"	14.8021361709446	5.07902681884546	361.626709501796	98.2132257787795	35.0761520638498	14.8021361709446	0	35.0761520638498	0	5.07902681884546	0	361.626709501796	0	"VERYPOOR"	"EXCELLENT"	-2	2	8.5	0.85	""	""	""	""	"yes"	NA	""	""	"yes"	""	""	""	"yes"	""	"yes"	"yes"	""	""	"yes"	NA	98.2132257787795	0
"TSB019"	15.8694616275687	4.56741099694697	374.436353529713	93.9723129874954	58.9054749874152	8.22122535335214	7.64823627421656	19.4815766667112	39.423898320704	2.82093230133979	1.74647869560719	231.260030063836	143.176323465877	NA	NA	NA	NA	7.46	4.25	""	""	""	"yes"	""	NA	"yes"	""	""	""	""	""	"yes"	""	"yes"	"yes"	""	"yes"	"yes"	NA	54.5484146667914	39.423898320704
"TSB018"	19.5666410013217	5.96743823129746	489.210586201766	120.198474003437	64.4777370428681	13.0634172207555	6.50322378056626	30.9559649780936	33.5217720647746	4.48242372882795	1.48501450246951	367.469097289315	121.741488912451	"GOOD"	"GOOD"	1	1	8	4.16	""	""	""	"yes"	""	NA	"yes"	""	""	""	""	""	"yes"	""	"yes"	"yes"	""	""	"yes"	NA	86.6767019386619	33.5217720647746
"TSB054"	20.0507546859326	5.75096712060088	448.575435406868	118.475925579123	74.9079818699554	10.2142623584826	9.83649232744995	24.2044131717597	50.7035686981957	3.50479902727081	2.24616809333007	273.374324127123	175.201111279745	NA	NA	NA	NA	5.86	4.04	""	""	""	"yes"	""	NA	"yes"	"yes"	"yes"	""	""	"yes"	""	"yes"	"yes"	"yes"	""	""	"yes"	NA	67.7723568809273	50.7035686981957
"TSB028"	20.5708348871786	7.05842865323096	807.343069356557	136.488951858057	48.7460542350205	20.5708348871786	0	48.7460542350205	0	7.05842865323096	0	807.343069356557	0	"GOOD"	"GOOD"	1	1	19.87	0.31	"yes"	""	""	""	""	NA	""	"yes"	""	""	""	""	""	"yes"	"yes"	"yes"	""	"yes"	"yes"	NA	136.488951858057	0
"TSB090"	21.3622846557149	6.13955209656846	1080.56116899605	126.385580269112	79.5066013112977	10.9905161778876	10.3717684778273	26.0438771987858	53.4627241125119	3.77115341838418	2.36839867818427	663.723001635616	416.838167360432	"VERYPOOR"	"MIXED"	-2	0	9.76	3	""	""	""	"yes"	""	NA	""	"yes"	"yes"	""	""	""	"yes"	""	""	"yes"	"yes"	""	""	NA	72.9228561566002	53.4627241125119
"TSB023"	21.7747069543641	7.47151082225573	666.085189804099	144.476728607155	51.5988316454125	21.7747069543641	0	51.5988316454125	0	7.47151082225573	0	666.085189804099	0	"GOOD"	"GOOD"	1	1	9.32	5.13	""	""	"yes"	""	""	NA	""	""	"yes"	""	""	""	"yes"	""	""	"yes"	"yes"	"yes"	""	NA	144.476728607155	0
"TSB110"	21.8097750523568	6.73455418591772	513.509756676226	135.048730117293	69.8554837252436	15.2841944319138	6.52558062044304	36.2184702178052	33.6370135074384	5.2444344875382	1.49011969837952	399.888129674788	113.621627001438	"MIXED"	"GOOD"	0	1	10.05	3.33	""	""	""	"yes"	""	NA	"yes"	"yes"	"yes"	""	""	""	"yes"	""	"yes"	"yes"	"yes"	""	""	NA	101.411716609855	33.6370135074384
"TSB051"	21.9471599851598	6.23805007387748	378.400117481408	128.948205760155	83.3720879535681	10.6850676190997	11.2620923660601	25.3200654481036	58.0520225054645	3.66634547688541	2.57170459699207	222.400516627869	155.999600853539	"POOR"	"EXCELLENT"	-1	2	16.77	5.92	""	""	""	"yes"	""	NA	""	"yes"	"yes"	"yes"	""	""	"yes"	"yes"	""	"yes"	"yes"	"yes"	""	NA	70.8961832546902	58.0520225054645
