property	metercode	type	unit
TSB029	0cc8989a-9cc7-40d5-97f2-11b34792977c:ElecMeterPulse	ElecMeterPulse	Wh
TSB086	b4f58930-cdfa-4b9d-b9a3-6bec7331c6ee:Electrical	Electrical	kWh
TSB115	4a26f3eb-3ef8-4877-a4a1-d61c55debf06:Electrical	Electrical	kWh
TSB114	212d5156-1d42-41c8-8fb6-8f4c33a15070:Electrical	Electrical	kWh
TSB085	a4655a66-ddd5-4e33-a173-c1763495190a:Electrical	Electrical	kWh
TSB029	9ba51f93-32b3-4246-b6b6-a44930d9d829:GasMeterPulse	GasMeterPulse	per m Cube
TSB115	39176c26-9662-47fb-a37b-6c6abe2a9f72:Gas Usage	Gas_Usage	m^3
TSB085	921d084d-8c10-4fd6-aeb9-658ca8f1fe80:Gas Usage	Gas_Usage	m^3
TSB114	282db7ae-aa42-4d77-a33b-80ff56c52709:Gas Usage	Gas_Usage	m^3
TSB022	d437a5c9-7f67-4d7d-9806-859830c7fd56:electricityConsumption	electricityConsumption	kWh
TSB054	0ff35ec1-2622-4d5c-8fbc-a435170ec136:electricityConsumption	electricityConsumption	kWh
TSB017	9cb977d9-7f7b-486c-9ea2-ee29e695dc62:electricityConsumption	electricityConsumption	kWh
TSB014	64a602e7-9558-4693-a2b2-b7cbc677b957:electricityConsumption	electricityConsumption	kWh
TSB096	4529ef6e-09a8-4fd8-b881-fb418ff3468d:electricityConsumption	electricityConsumption	kWh
TSB053	028630f9-fcc8-403c-aa47-eea647cead10:electricityConsumption	electricityConsumption	kWh
TSB068	6b545660-1cdd-4177-9bad-dde44d0f22c7:electricityConsumption	electricityConsumption	kWh
TSB069	ae9d7a7a-9ce7-486e-be4c-be6f930db1ba:electricityConsumption	electricityConsumption	kWh
TSB052	dbe5057f-5f80-4ea6-990d-474648f3add7:electricityConsumption	electricityConsumption	kWh
TSB093	3e2c8da2-6571-48a2-a859-83fcf4a59963:electricityConsumption	electricityConsumption	kWh
TSB027	88ffef81-f839-44b4-9421-827741cbc3b9:electricityConsumption	electricityConsumption	kWh
TSB026	ede06768-59d1-4bf5-b21e-51b1b8b29106:electricityConsumption	electricityConsumption	kWh
TSB020	731202f5-db2a-4f14-8451-0931cc7ddc61:electricityConsumption	electricityConsumption	kWh
TSB018	baf3227c-f20b-4b73-84a6-1c77b7f60cee:electricityConsumption	electricityConsumption	kWh
TSB073	dda1d834-add2-4219-a467-956f945c4414:electricityConsumption	electricityConsumption	kWh
