"property_num"	"area"
1	88.96
2	74.08
3	80.5
4	74.08
7	81.56
8	82
9	85.57
10	70.99
11	87.1
12	82.94
13	82.94
14	82.94
15	79.54
16	82.94
17	82.94
18	81.98
19	81.98
20	72.6
21	72.6
22	89.15
23	89.15
24	83
25	87.62
26	85.69
27	59
28	114.38
29	159.54
30	57.08
31	106.47
32	83.16
33	115.84
34	64.34
35	47.5
36	100
39	90.02
40	32.52
41	97
42	83
43	63.32
44	73.7
46	79
47	82
48	132
49	132
51	60.66
52	88.78
53	90.48
54	78
55	97.56
56	79.43
57	73.45
58	102
59	112.32
60	75.19
61	57.32
62	90.7
63	53.75
64	68.26
65	106
66	282.42
67	98.74
68	71.2
69	71.2
70	114.58
71	114.58
72	109.88
73	88.64
74	76.9
75	76
76	87.87
77	78.55
78	78.55
79	79.26
80	79.26
81	68.61
82	68.61
83	92
84	115
85	89.2
86	75.29
87	72.05
88	62.64
89	69.2
90	176
91	87.25
92	94.97
93	90
94	99.88
95	84.68
96	64
97	110.26
98	78.38
99	62.64
100	74.41
101	90
102	89
103	88.93
104	88.92
105	89
106	75.24
107	112
108	104.2
109	83
110	76.25
111	87.6
112	47.53
113	96.72
114	74.8
115	72
116	80
117	71.13
118	64.58
119	60.16
120	89.48
121	81.4
122	169.12
123	105.2
124	71.25
125	87.6

